scheme,year,band,females
S0,1982,60-64,12972443.202636778
S0,1982,65-69,9874742.405862689
S0,1982,70-74,7505643.38034004
S0,1982,75+,10481912.931452036
S0,1982,0-8,
S0,1982,9-14,
S0,1982,0-17,
S0,1982,18-29,
S0,1982,30-65,
S0,1982,66+,
S0,1982,15-26,
S0,1982,27-45,
S0,1982,46-65,
S0,1983,00-04,25504402.33968914
S0,1983,05-09,26403872.96123984
S0,1983,10-14,27260196.83753577
S0,1983,15-19,27795419.79909727
S0,1983,20-24,29110125.52620837
S0,1983,25-29,29603820.02948892
S0,1983,30-34,27939230.224617243
S0,1983,35-39,26004817.62554851
S0,1983,40-44,24013893.820019662
S0,1983,45-49,21712982.60725978
S0,1983,50-54,19434235.5778718
S0,1983,55-59,16495624.089617133
S0,1983,60-64,13278185.670209467
S0,1983,65-69,10107476.368359447
S0,1983,70-74,7682540.969481885
S0,1983,75+,10728957.059877336
S0,1983,0-8,
S0,1983,9-14,
S0,1983,0-17,
S0,1983,18-29,
S0,1983,30-65,
S0,1983,66+,
S0,1983,15-26,
S0,1983,27-45,
S0,1983,46-65,
S0,1984,00-04,26110992.51896498
S0,1984,05-09,27031855.919625457
S0,1984,10-14,27908546.38388224
S0,1984,15-19,28456498.95141068
S0,1984,20-24,29802473.303133383
S0,1984,25-29,30307909.71015525
S0,1984,30-34,28603729.72729355
S0,1984,35-39,26623309.553938836
S0,1984,40-44,24585034.12604946
S0,1984,45-49,22229398.629753828
S0,1984,50-54,19896454.46409625
S0,1984,55-59,16887951.79212582
S0,1984,60-64,13593990.640617073
S0,1984,65-69,10347870.000041127
S0,1984,70-74,7865260.558120072
S0,1984,75+,10984131.8293041
S0,1984,0-8,
S0,1984,9-14,
S0,1984,0-17,
S0,1984,18-29,
S0,1984,30-65,
S0,1984,66+,
S0,1984,15-26,
S0,1984,27-45,
S0,1984,46-65,
S0,1985,00-04,26731477.04036351
S0,1985,05-09,27674223.23563693
S0,1985,10-14,28571746.79778281
S0,1985,15-19,29132720.551172525
