scheme,year,band,females
S0,1983,50-54,12168537.99988407
S0,1983,55-59,8937565.679240111
S0,1983,60-64,8866901.252603803
S0,1983,65-69,5507411.807428825
S0,1983,70-74,4249891.682728298
S0,1983,75+,3936231.869179748
S0,1983,0-8,
S0,1983,9-14,
S0,1983,0-17,
S0,1983,18-29,
S0,1983,30-65,
S0,1983,66+,
S0,1983,15-26,
S0,1983,27-45,
S0,1983,46-65,
S0,1984,00-04,47408192.6062635
S0,1984,05-09,47788067.38510844
S0,1984,10-14,41902050.39794304
S0,1984,15-19,33237624.59393059
S0,1984,20-24,32969051.708185114
S0,1984,25-29,30178177.12661318
S0,1984,30-34,23838110.98185619
S0,1984,35-39,18468266.06988098
S0,1984,40-44,16498418.149285369
S0,1984,45-49,15906580.404635048
S0,1984,50-54,12504276.60649483
S0,1984,55-59,9126931.426642926
S0,1984,60-64,9106672.403339677
S0,1984,65-69,5622671.033073902
S0,1984,70-74,4329576.575990126
S0,1984,75+,4104369.022298352
S0,1984,0-8,
S0,1984,9-14,
S0,1984,0-17,
S0,1984,18-29,
S0,1984,30-65,
S0,1984,66+,
S0,1984,15-26,
S0,1984,27-45,
S0,1984,46-65,
S0,1985,00-04,48193255.23974167
S0,1985,05-09,48751938.71148878
S0,1985,10-14,42897060.204977505
S0,1985,15-19,33751193.53984403
S0,1985,20-24,33733814.45721595
S0,1985,25-29,30969059.18220847
S0,1985,30-34,24776627.243465252
S0,1985,35-39,19359364.35659744
S0,1985,40-44,16769121.339272767
S0,1985,45-49,16220526.127291221
S0,1985,50-54,12831896.550696889
S0,1985,55-59,9334133.717247728
S0,1985,60-64,9361731.26328925
S0,1985,65-69,5737761.262008574
S0,1985,70-74,4423811.674328905
S0,1985,75+,4265941.848545401
S0,1985,0-8,
S0,1985,9-14,
S0,1985,0-17,
S0,1985,18-29,
S0,1985,30-65,
S0,1985,66+,
S0,1985,15-26,
S0,1985,27-45,
S0,1985,46-65,
S0,1986,00-04,48873986.19184814
S0,1986,05-09,49898722.98078233
